,Unnamed: 0,cpd_str_alert_id,molecule_chembl_id,alert.alert_id,alert.alert_name,alert.alert_set.priority,alert.alert_set.set_name,alert.smarts
9998,998,49314620,CHEMBL2270067,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
11399,399,49316021,CHEMBL3247493,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
220,220,49304842,CHEMBL16990,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3272,272,49307894,CHEMBL181594,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
787,787,49305409,CHEMBL295795,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
16912,912,49321534,CHEMBL228410,6,R6 Acid anhydrides,8,Glaxo,C(=O)OC(=O)
13576,576,49318198,CHEMBL4170224,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3296,296,49307918,CHEMBL189494,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17418,418,49322040,CHEMBL9445,7,R7 Peroxides,8,Glaxo,OO
13876,876,49318498,CHEMBL4250971,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3104,104,49307726,CHEMBL354826,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
18024,24,49322646,CHEMBL344033,7,R7 Peroxides,8,Glaxo,OO
6667,667,49311289,CHEMBL1430074,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
1447,447,49306069,CHEMBL86294,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
14586,586,49319208,CHEMBL4640799,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
14106,106,49318728,CHEMBL4435605,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17125,125,49321747,CHEMBL2323398,6,R6 Acid anhydrides,8,Glaxo,C(=O)OC(=O)
